Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,
2022-10-30,15:30,TS Galaxy,1–1,Sekhukhune United FC,,Mbombela Stadium,Olani Kwinda,Match Report,
2022-10-30,15:30,Chippa Utd,3–3,Richards Bay FC,,Nelson Mandela Bay Stadium,Christopher Kistoor,Match Report,
2022-10-30,15:30,AmaZulu,1–0,Stellenbosch FC,,King Goodwill Zwelithini Stadium,Thando Ndzandzeka,Match Report,
2022-10-30,17:30,SuperSport,1–1,Moroka Swallows,,Lucas Masterpieces Moripe Stadium,Tshidiso Maruping,Match Report,
2022-12-30,15:30,Sundowns,2–0,Orlando Pirates,,Loftus Versfeld Stadium,Luxolo Badi,Match Report,
2022-12-30,17:30,Stellenbosch FC,1–1,Chippa Utd,,Danie Craven Stadium,Sikhumbuzo Gasa,Match Report,
2022-12-30,17:30,Cape Town City,2–1,Royal Eagles FC,,DHL Stadium,Thando Ndzandzeka,Match Report,
2022-12-30,19:30,Maritzburg Utd,1–2,TS Galaxy,,Harry Gwala Stadium,Jelly Chavani,Match Report,
2022-12-30,19:30,SuperSport,1–0,Marumo Gallants FC,,Lucas Masterpieces Moripe Stadium,Abongile Tom,Match Report,
2022-12-31,15:30,Richards Bay FC,1–0,Moroka Swallows,,King Goodwill Zwelithini Stadium,Masixole Bambiso,Match Report,
2022-12-31,15:30,Golden Arrows,0–2,Kaizer Chiefs,,Princess Magogo Stadium,Xola Sitela,Match Report,
2022-12-31,17:30,Sekhukhune United FC,0–0,AmaZulu,,Peter Mokaba Stadium,Cedrick Muvhali,Match Report,
2023-01-03,17:00,Cape Town City,0–1,SuperSport,,DHL Stadium,Philangenkosi Khumalo,Match Report,
2023-01-03,19:30,Sundowns,2–0,Moroka Swallows,,Loftus Versfeld Stadium,Abongile Tom,Match Report,
2023-01-03,19:30,Sekhukhune United FC,3–2,Marumo Gallants FC,,Peter Mokaba Stadium,Thapelo Keshwa,Match Report,
2023-01-03,19:30,Royal Eagles FC,0–0,TS Galaxy,,Chatsworth Stadium,Tshidiso Maruping,Match Report,
2023-01-06,19:30,Moroka Swallows,2–0,Chippa Utd,,Volkswagen Dobsonville Stadium,Thapelo Keshwa,Match Report,
2023-01-06,19:30,Richards Bay FC,0–2,Sundowns,,King Goodwill Zwelithini Stadium,Thando Ndzandzeka,Match Report,
2023-01-07,15:30,Golden Arrows,2–1,SuperSport,,Princess Magogo Stadium,Tshidiso Maruping,Match Report,
2023-01-07,15:30,Marumo Gallants FC,0–1,Maritzburg Utd,,Royal Bafokeng Stadium,Thabo khabela,Match Report,
2023-01-07,17:30,Cape Town City,2–1,Orlando Pirates,,DHL Stadium,Masixole Bambiso,Match Report,
2023-01-07,20:00,Kaizer Chiefs,0–1,Sekhukhune United FC,,FNB Stadium,Qunta Siyabulela,Match Report,
2023-01-08,15:30,Royal Eagles FC,2–0,AmaZulu,,Chatsworth Stadium,Christopher Kistoor,Match Report,
