,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
123,15.0,Tue,2016-12-20,19:30,Highlands Park,2–2,Platinum Stars,1500.0,Makhulong Stadium,Khulekane Thusi,Match Report,
124,15.0,Tue,2016-12-20,19:30,Orlando Pirates,1–2,Bloem Celtic,5000.0,Orlando Stadium,Kulasande Qongqo,Match Report,
125,15.0,Tue,2016-12-20,19:30,Maritzburg Utd,1–1,Bidvest Wits,5000.0,Harry Gwala Stadium,Christopher Harrison,Match Report,
126,15.0,Wed,2016-12-21,18:00,Golden Arrows,0–2,Kaizer Chiefs,2000.0,Moses Mabhida Stadium,Thando Ndzandzeka,Match Report,
127,15.0,Wed,2016-12-21,19:30,Free State Stars,1–0,Cape Town City,1000.0,Goble Park Stadium,Phillip Tinyani,Match Report,
128,15.0,Wed,2016-12-21,19:30,Ajax Cape Town,1–0,Chippa Utd,2000.0,Cape Town Stadium,Victor Hlungwani,Match Report,
129,15.0,Wed,2016-12-21,20:00,SuperSport,2–1,Polokwane City,1000.0,Lucas Masterpieces Moripe Stadium,Akhona Makhalima,Match Report,
130,15.0,Thu,2016-12-22,18:00,Baroka FC,0–1,Sundowns,3000.0,Peter Mokaba Stadium,Lwandile Mfiki,Match Report,
131,,,,,,,,,,,,
132,16.0,Tue,2017-02-07,19:30,Chippa Utd,2–1,Baroka FC,3000.0,Nelson Mandela Bay Stadium,Phelelani Ndaba,Match Report,
133,16.0,Tue,2017-02-07,19:30,Kaizer Chiefs,3–1,Free State Stars,7000.0,Soccer City,Kulasande Qongqo,Match Report,
134,16.0,Tue,2017-02-07,19:30,Cape Town City,3–0,Highlands Park,200.0,Cape Town Stadium,Thando Ndzandzeka,Match Report,
135,16.0,Tue,2017-02-07,19:30,Bidvest Wits,5–0,Ajax Cape Town,1500.0,BidVest Stadium,Victor Gomes,Match Report,
136,16.0,Wed,2017-02-08,19:30,Polokwane City,1–1,Maritzburg Utd,2000.0,Pietersburg Stadium,Bafana Mosia,Match Report,
